,City,Lat,Lng,Temp,Humidity,Cloudiness,Wind,Country,Date
310,samarinda,-0.5,117.15,74.77,98,100,1.41,ID,1652036314
311,tigil,57.8,158.6667,34.52,99,100,3.85,RU,1652036314
312,behshahr,36.6923,53.5526,58.95,93,96,4.72,IR,1652036315
313,beaver falls,40.752,-80.3192,67.1,32,0,17.0,US,1652036315
314,itaituba,-4.2761,-55.9836,82.56,83,75,4.61,BR,1652036316
315,conde,-7.2597,-34.9075,81.86,74,20,16.11,BR,1652036178
316,santa fe,-31.6333,-60.7,79.02,51,54,5.01,AR,1652036317
317,alegrete,-29.7831,-55.7919,72.73,65,75,6.46,BR,1652036317
318,sabya,17.1495,42.6254,87.42,67,0,4.97,SA,1652036318
319,gizo,-8.103,156.8419,82.13,78,94,5.53,SB,1652036318
320,codrington,-38.2667,141.9667,46.44,91,27,5.21,AU,1652036319
321,satka,55.0425,59.04,46.45,49,100,4.14,RU,1652036319
322,shingu,33.7333,135.9833,57.81,66,98,5.41,JP,1652036168
323,hapao,16.8797,121.016,66.7,96,13,0.27,PH,1652036320
324,yaguajay,22.3272,-79.2378,87.13,55,76,2.59,CU,1652036321
325,borogontsy,62.6683,131.1683,36.66,96,100,8.57,RU,1652036321
326,uige,-7.6087,15.0613,72.23,74,66,1.23,AO,1652036322
327,hay river,60.8156,-115.7999,31.98,93,100,17.27,CA,1652036322
328,salinopolis,-0.6136,-47.3561,76.17,93,100,2.77,BR,1652036323
329,tilichiki,60.4667,166.1,26.74,89,94,2.39,RU,1652036323
330,bongandanga,1.5,21.05,76.71,79,80,3.87,CD,1652036164
331,steubenville,40.3698,-80.634,65.41,31,0,4.0,US,1652036324
332,laguna,38.421,-121.4238,64.06,41,75,5.99,US,1652036116
333,chirnside,55.8022,-2.2093,59.52,72,62,8.63,GB,1652036325
334,mau,25.95,83.55,89.46,35,19,8.97,IN,1652036325
335,gryazovets,58.88,40.2525,42.3,93,100,7.74,RU,1652036326
336,yulara,-25.2406,130.9889,51.64,40,100,6.91,AU,1652036326
337,geraldton,-28.7667,114.6,55.81,94,0,5.75,AU,1652036327
338,victoria,22.2855,114.1577,77.38,78,100,8.01,HK,1652036102
339,leua,48.2156,18.6071,65.82,78,84,4.47,SK,1652036328
340,aripuana,-9.1667,-60.6333,83.08,73,80,1.07,BR,1652036328
341,corum,40.5,34.75,41.92,90,9,4.45,TR,1652036329
342,kalmunai,7.4167,81.8167,82.94,79,100,7.4,LK,1652036329
343,vaitape,-16.5167,-151.75,81.36,76,0,9.89,PF,1652036330
344,maceio,-9.6658,-35.7353,81.84,69,75,10.36,BR,1652036330
345,zakamensk,50.3741,103.2863,32.88,83,100,5.59,RU,1652036331
346,narsaq,60.9167,-46.05,40.96,74,99,3.89,GL,1652036331
347,caravelas,-17.7125,-39.2481,74.71,86,100,9.46,BR,1652036232
348,nuuk,64.1835,-51.7216,32.88,86,50,13.0,GL,1652036332
349,leesburg,39.1157,-77.5636,55.51,58,100,8.05,US,1652036102
350,boyolangu,-8.1181,111.8935,77.02,92,99,0.89,ID,1652036333
351,nemuro,43.3236,145.575,39.6,78,8,7.38,JP,1652036333
352,saint-ambroise,48.5501,-71.3324,62.58,17,0,5.75,CA,1652036334
353,cranbourne,-38.1,145.2833,54.45,80,68,1.99,AU,1652036335
354,panacan,9.2463,118.4082,80.62,82,100,7.05,PH,1652036335
